2017-05-27 10:08:52.678 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:08:53.059 [main] INFO  com.ymt.operation.OperateAppium - 传输本地完成------
2017-05-27 10:08:53.059 [main] INFO  com.ymt.operation.OperateAppium - 滑动的截图:C:/Users/sunsheng/Desktop/YmtAPP/results/screenshots/1.ori.png
2017-05-27 10:08:53.596 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:08:53.597 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:08:53.740 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:08:53.740 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:08:54.114 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:08:55.199 [main] INFO  com.ymt.traveler.Traveler - next action is : SWIP_UP
2017-05-27 10:08:55.199 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:SWIP_UP
2017-05-27 10:08:55.817 [main] INFO  com.ymt.operation.OperateAppium -  .launcher.Launcher : SWIP_UP ,duration 100
2017-05-27 10:08:57.912 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:08:58.321 [main] INFO  com.ymt.operation.OperateAppium - 传输本地完成------
2017-05-27 10:08:58.321 [main] INFO  com.ymt.operation.OperateAppium - 滑动的截图:C:/Users/sunsheng/Desktop/YmtAPP/results/screenshots/2.ori.png
2017-05-27 10:08:58.899 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:08:58.899 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:08:59.047 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:08:59.047 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:08:59.070 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:09:00.140 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:09:00.140 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:09:00.268 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:09:00.269 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:09:00.349 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:09:01.423 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:09:01.424 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:09:01.575 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:09:01.575 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:09:01.637 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:09:02.715 [main] INFO  com.ymt.traveler.Traveler - next action is : SWIP_UP
2017-05-27 10:09:02.715 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:SWIP_UP
2017-05-27 10:09:03.350 [main] INFO  com.ymt.operation.OperateAppium -  .launcher.Launcher : SWIP_UP ,duration 100
2017-05-27 10:09:05.828 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:09:06.296 [main] INFO  com.ymt.operation.OperateAppium - 传输本地完成------
2017-05-27 10:09:06.296 [main] INFO  com.ymt.operation.OperateAppium - 滑动的截图:C:/Users/sunsheng/Desktop/YmtAPP/results/screenshots/3.ori.png
2017-05-27 10:09:06.821 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:09:06.821 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:09:06.925 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:09:06.925 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:09:07.563 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:09:17.719 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-27 10:09:23.798 [main] INFO  com.ymt.traveler.AndroidTraveler - .ui.activity.SplashActivity
2017-05-27 10:09:41.226 [main] INFO  com.ymt.operation.OperateAppium - udid:INMN8TDIK7QKH6EI
2017-05-27 10:09:44.960 [main] WARN  com.ymt.operation.OperateAppium - 查找元素超时!!3秒之后还没找到元素 [By.id: com.ymatou.shop:id/tv_follow_button_state]
